Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazeWorld;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3733542;1000497101065716640;63850017879700;(0.775, 1.786, -0.296);(-0.019, -0.404, -0.001, 0.914);VALID;(-0.108, 0.141, 0.984);(-0.577, 0.175, -0.798);(0.000, 0.000, 0.000);68.025;VALID;(-0.086, 0.142, 0.986);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.131, 0.141, 0.981);(0.034, 0.000, 0.000);0.401;5.292;13.183;2;0.3042636
3733543;1000497101070720581;63850017879700;(0.775, 1.786, -0.296);(-0.019, -0.404, -0.001, 0.914);VALID;(-0.105, 0.140, 0.985);(-0.579, 0.174, -0.796);(0.000, 0.000, 0.000);68.025;VALID;(-0.083, 0.140, 0.987);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.128, 0.140, 0.982);(0.034, 0.000, 0.000);0.401;5.292;13.183;2;0.2601355
3733544;1000497101075724373;63850017879711;(0.774, 1.786, -0.297);(-0.020, -0.407, -0.001, 0.913);VALID;(-0.102, 0.139, 0.985);(-0.577, 0.175, -0.798);(0.000, 0.000, 0.000);68.025;VALID;(-0.080, 0.139, 0.987);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.125, 0.139, 0.982);(0.034, 0.000, 0.000);0.402;5.295;13.183;2;0.2787112
3733545;1000497101080728070;63850017879711;(0.774, 1.786, -0.297);(-0.020, -0.407, -0.001, 0.913);VALID;(-0.099, 0.138, 0.985);(-0.580, 0.174, -0.796);(0.000, 0.000, 0.000);68.025;VALID;(-0.077, 0.138, 0.987);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.121, 0.137, 0.983);(0.034, 0.000, 0.000);0.402;5.295;13.183;2;0.2435635
3733546;1000497101085728400;63850017879711;(0.774, 1.786, -0.297);(-0.020, -0.407, -0.001, 0.913);VALID;(-0.096, 0.137, 0.986);(-0.583, 0.172, -0.794);(0.000, 0.000, 0.000);68.025;VALID;(-0.074, 0.137, 0.988);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.119, 0.136, 0.984);(0.034, 0.000, 0.000);0.402;5.296;13.183;2;0.283708
3733547;1000497101090728864;63850017879722;(0.774, 1.786, -0.297);(-0.022, -0.409, -0.001, 0.912);VALID;(-0.093, 0.135, 0.986);(-0.581, 0.173, -0.795);(0.000, 0.000, 0.000);68.025;VALID;(-0.070, 0.136, 0.988);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.116, 0.135, 0.984);(0.034, 0.000, 0.000);0.402;5.296;13.183;2;0.2381531
3733548;1000497101095729459;63850017879722;(0.774, 1.786, -0.297);(-0.022, -0.409, -0.001, 0.912);VALID;(-0.090, 0.134, 0.987);(-0.584, 0.172, -0.793);(0.000, 0.000, 0.000);68.025;VALID;(-0.067, 0.134, 0.989);(-0.034, 0.000, 0.000);0.394;5.228;13.257;VALID;(-0.113, 0.134, 0.985);(0.034, 0.000, 0.000);0.402;5.299;13.183;2;0.2748615
3733549;1000497101100733620;63850017879733;(0.773, 1.786, -0.298);(-0.023, -0.411, -0.001, 0.912);VALID;(-0.087, 0.133, 0.987);(-0.582, 0.173, -0.794);(0.000, 0.000, 0.000);68.025;VALID;(-0.063, 0.133, 0.989);(-0.034, 0.000, 0.000);0.394;5.227;13.257;VALID;(-0.111, 0.133, 0.985);(0.034, 0.000, 0.000);0.402;5.304;13.183;2;0.3022071
3733550;1000497101105734305;63850017879733;(0.773, 1.786, -0.298);(-0.023, -0.411, -0.001, 0.912);VALID;(-0.084, 0.132, 0.988);(-0.585, 0.172, -0.793);(0.000, 0.000, 0.000);68.025;VALID;(-0.060, 0.132, 0.989);(-0.034, 0.000, 0.000);0.394;5.225;13.257;VALID;(-0.108, 0.132, 0.985);(0.034, 0.000, 0.000);0.403;5.308;13.183;2;0.2458513
3733551;1000497101110734985;63850017879745;(0.773, 1.787, -0.299);(-0.024, -0.412, -0.001, 0.911);VALID;(-0.081, 0.131, 0.988);(-0.584, 0.172, -0.793);(0.000, 0.000, 0.000);68.025;VALID;(-0.057, 0.131, 0.990);(-0.034, 0.000, 0.000);0.394;5.224;13.257;VALID;(-0.105, 0.130, 0.986);(0.034, 0.000, 0.000);0.403;5.316;13.183;2;0.2735383
3733552;1000497101115735661;63850017879745;(0.773, 1.787, -0.299);(-0.024, -0.412, -0.001, 0.911);VALID;(-0.078, 0.130, 0.988);(-0.587, 0.171, -0.791);(0.000, 0.000, 0.000);68.025;VALID;(-0.054, 0.130, 0.990);(-0.034, 0.000, 0.000);0.394;5.224;13.257;VALID;(-0.102, 0.129, 0.986);(0.034, 0.000, 0.000);0.404;5.323;13.183;2;0.289317
3733553;1000497101120736333;63850017879755;(0.773, 1.787, -0.299);(-0.025, -0.414, -0.001, 0.910);VALID;(-0.075, 0.129, 0.989);(-0.586, 0.172, -0.792);(0.000, 0.000, 0.000);68.025;VALID;(-0.051, 0.129, 0.990);(-0.034, 0.000, 0.000);0.394;5.225;13.257;VALID;(-0.099, 0.128, 0.987);(0.034, 0.000, 0.000);0.404;5.327;13.183;2;0.3167267
3733554;1000497101125737002;63850017879755;(0.773, 1.787, -0.299);(-0.025, -0.414, -0.001, 0.910);VALID;(-0.073, 0.128, 0.989);(-0.588, 0.171, -0.790);(0.000, 0.000, 0.000);68.025;VALID;(-0.049, 0.128, 0.991);(-0.034, 0.000, 0.000);0.394;5.224;13.257;VALID;(-0.096, 0.127, 0.987);(0.034, 0.000, 0.000);0.405;5.337;13.183;2;0.3421851
3733555;1000497101130741130;63850017879755;(0.773, 1.787, -0.299);(-0.025, -0.414, -0.001, 0.910);VALID;(-0.070, 0.127, 0.989);(-0.591, 0.170, -0.789);(0.000, 0.000, 0.000);68.025;VALID;(-0.046, 0.127, 0.991);(-0.034, 0.000, 0.000);0.394;5.220;13.257;VALID;(-0.093, 0.126, 0.988);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.335505
3733556;1000497101135745241;63850017879767;(0.773, 1.787, -0.300);(-0.026, -0.416, 0.000, 0.909);VALID;(-0.067, 0.125, 0.990);(-0.589, 0.171, -0.790);(0.000, 0.000, 0.000);68.025;VALID;(-0.044, 0.125, 0.991);(-0.034, 0.000, 0.000);0.394;5.219;13.257;VALID;(-0.091, 0.125, 0.988);(0.034, 0.000, 0.000);0.406;5.347;13.183;2;0.3114925
3733557;1000497101140749256;63850017879767;(0.773, 1.787, -0.300);(-0.026, -0.416, 0.000, 0.909);VALID;(-0.065, 0.124, 0.990);(-0.591, 0.170, -0.789);(0.000, 0.000, 0.000);68.025;VALID;(-0.041, 0.124, 0.991);(-0.034, 0.000, 0.000);0.393;5.216;13.257;VALID;(-0.089, 0.124, 0.988);(0.034, 0.000, 0.000);0.406;5.347;13.183;2;0.3268454
3733558;1000497101145753121;63850017879779;(0.772, 1.787, -0.301);(-0.028, -0.418, 0.000, 0.908);VALID;(-0.063, 0.122, 0.990);(-0.589, 0.171, -0.790);(0.000, 0.000, 0.000);68.025;VALID;(-0.038, 0.123, 0.992);(-0.034, 0.000, 0.000);0.393;5.215;13.257;VALID;(-0.087, 0.122, 0.989);(0.034, 0.000, 0.000);0.406;5.347;13.183;2;0.347405
3733559;1000497101150756837;63850017879779;(0.772, 1.787, -0.301);(-0.028, -0.418, 0.000, 0.908);VALID;(-0.061, 0.121, 0.991);(-0.591, 0.169, -0.789);(0.000, 0.000, 0.000);68.025;VALID;(-0.036, 0.121, 0.992);(-0.034, 0.000, 0.000);0.393;5.215;13.257;VALID;(-0.086, 0.121, 0.989);(0.034, 0.000, 0.000);0.406;5.347;13.183;2;0.3887527
3733560;1000497101155757026;63850017879790;(0.772, 1.787, -0.301);(-0.029, -0.420, 0.000, 0.907);VALID;(-0.059, 0.120, 0.991);(-0.589, 0.171, -0.790);(0.000, 0.000, 0.000);68.025;VALID;(-0.033, 0.120, 0.992);(-0.034, 0.000, 0.000);0.393;5.214;13.257;VALID;(-0.084, 0.120, 0.989);(0.034, 0.000, 0.000);0.405;5.345;13.183;2;0.3978752
3733561;1000497101160757324;63850017879790;(0.772, 1.787, -0.301);(-0.029, -0.420, 0.000, 0.907);VALID;(-0.056, 0.119, 0.991);(-0.591, 0.170, -0.789);(0.000, 0.000, 0.000);68.025;VALID;(-0.031, 0.119, 0.992);(-0.034, 0.000, 0.000);0.393;5.212;13.257;VALID;(-0.081, 0.119, 0.990);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.3848933
3733562;1000497101165757757;63850017879801;(0.772, 1.787, -0.302);(-0.030, -0.421, 0.000, 0.906);VALID;(-0.054, 0.117, 0.992);(-0.590, 0.170, -0.789);(0.000, 0.000, 0.000);68.025;VALID;(-0.029, 0.117, 0.993);(-0.034, 0.000, 0.000);0.393;5.208;13.257;VALID;(-0.078, 0.117, 0.990);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.4256521
3733563;1000497101170758324;63850017879801;(0.772, 1.787, -0.302);(-0.030, -0.421, 0.000, 0.906);VALID;(-0.052, 0.116, 0.992);(-0.592, 0.169, -0.788);(0.000, 0.000, 0.000);68.025;VALID;(-0.026, 0.116, 0.993);(-0.034, 0.000, 0.000);0.393;5.206;13.257;VALID;(-0.077, 0.116, 0.990);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.4446892
3733564;1000497101175758972;63850017879812;(0.772, 1.788, -0.302);(-0.031, -0.422, 0.000, 0.906);VALID;(-0.050, 0.115, 0.992);(-0.592, 0.170, -0.788);(0.000, 0.000, 0.000);68.025;VALID;(-0.023, 0.115, 0.993);(-0.034, 0.000, 0.000);0.393;5.205;13.257;VALID;(-0.076, 0.115, 0.990);(0.034, 0.000, 0.000);0.405;5.344;13.183;1.280069;0.480701
3733565;1000497101180759619;63850017879812;(0.772, 1.788, -0.302);(-0.031, -0.422, 0.000, 0.906);VALID;(-0.047, 0.114, 0.992);(-0.594, 0.169, -0.787);(0.000, 0.000, 0.000);68.025;VALID;(-0.021, 0.114, 0.993);(-0.034, 0.000, 0.000);0.392;5.203;13.257;VALID;(-0.074, 0.114, 0.991);(0.034, 0.000, 0.000);0.405;5.344;13.183;1.270149;0.454435
3733566;1000497101185760264;63850017879812;(0.772, 1.788, -0.302);(-0.031, -0.422, 0.000, 0.906);VALID;(-0.045, 0.113, 0.993);(-0.596, 0.168, -0.786);(0.000, 0.000, 0.000);68.025;VALID;(-0.019, 0.113, 0.993);(-0.034, 0.000, 0.000);0.392;5.197;13.257;VALID;(-0.071, 0.113, 0.991);(0.034, 0.000, 0.000);0.405;5.344;13.183;1.290823;0.4807459
3733567;1000497101190760906;63850017879823;(0.771, 1.788, -0.302);(-0.032, -0.424, 0.000, 0.905);VALID;(-0.042, 0.112, 0.993);(-0.596, 0.168, -0.785);(0.000, 0.000, 0.000);68.025;VALID;(-0.017, 0.112, 0.994);(-0.034, 0.000, 0.000);0.392;5.191;13.257;VALID;(-0.068, 0.112, 0.991);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.4751799
3733568;1000497101195761545;63850017879823;(0.771, 1.788, -0.302);(-0.032, -0.424, 0.000, 0.905);VALID;(-0.040, 0.112, 0.993);(-0.598, 0.167, -0.784);(0.000, 0.000, 0.000);68.025;VALID;(-0.015, 0.112, 0.994);(-0.034, 0.000, 0.000);0.391;5.182;13.257;VALID;(-0.065, 0.111, 0.992);(0.034, 0.000, 0.000);0.405;5.346;13.183;2;0.4575469
3733569;1000497101200762183;63850017879835;(0.771, 1.788, -0.303);(-0.032, -0.424, 0.000, 0.905);VALID;(-0.037, 0.111, 0.993);(-0.599, 0.167, -0.783);(0.000, 0.000, 0.000);68.025;VALID;(-0.013, 0.111, 0.994);(-0.034, 0.000, 0.000);0.390;5.176;13.257;VALID;(-0.062, 0.111, 0.992);(0.034, 0.000, 0.000);0.406;5.346;13.183;2;0.4862584
3733570;1000497101205766277;63850017879835;(0.771, 1.788, -0.303);(-0.032, -0.424, 0.000, 0.905);VALID;(-0.035, 0.110, 0.993);(-0.601, 0.166, -0.782);(0.000, 0.000, 0.000);68.025;VALID;(-0.011, 0.110, 0.994);(-0.034, 0.000, 0.000);0.390;5.174;13.257;VALID;(-0.059, 0.110, 0.992);(0.034, 0.000, 0.000);0.405;5.346;13.183;2;0.4973992
3733571;1000497101210770331;63850017879846;(0.771, 1.788, -0.303);(-0.032, -0.425, 0.000, 0.905);VALID;(-0.033, 0.109, 0.993);(-0.601, 0.166, -0.782);(0.000, 0.000, 0.000);68.025;VALID;(-0.009, 0.109, 0.994);(-0.034, 0.000, 0.000);0.390;5.173;13.257;VALID;(-0.057, 0.109, 0.992);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.5225538
3733572;1000497101215774236;63850017879846;(0.771, 1.788, -0.303);(-0.032, -0.425, 0.000, 0.905);VALID;(-0.031, 0.108, 0.994);(-0.603, 0.165, -0.780);(0.000, 0.000, 0.000);68.025;VALID;(-0.007, 0.109, 0.994);(-0.034, 0.000, 0.000);0.390;5.172;13.257;VALID;(-0.055, 0.108, 0.993);(0.034, 0.000, 0.000);0.405;5.341;13.183;2;0.5298367
3733573;1000497101220777992;63850017879856;(0.771, 1.788, -0.303);(-0.033, -0.425, 0.001, 0.905);VALID;(-0.029, 0.108, 0.994);(-0.604, 0.165, -0.780);(0.000, 0.000, 0.000);68.025;VALID;(-0.005, 0.108, 0.994);(-0.034, 0.000, 0.000);0.390;5.171;13.257;VALID;(-0.053, 0.108, 0.993);(0.034, 0.000, 0.000);0.405;5.341;13.183;2;0.5332328
3733574;1000497101225781597;63850017879856;(0.771, 1.788, -0.303);(-0.033, -0.425, 0.001, 0.905);VALID;(-0.028, 0.107, 0.994);(-0.605, 0.164, -0.779);(0.000, 0.000, 0.000);68.025;VALID;(-0.004, 0.107, 0.994);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.052, 0.107, 0.993);(0.034, 0.000, 0.000);0.405;5.343;13.183;2;0.5674883
3733575;1000497101230781784;63850017879856;(0.771, 1.788, -0.303);(-0.033, -0.425, 0.001, 0.905);VALID;(-0.026, 0.106, 0.994);(-0.606, 0.163, -0.778);(0.000, 0.000, 0.000);68.025;VALID;(-0.002, 0.106, 0.994);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.050, 0.106, 0.993);(0.034, 0.000, 0.000);0.406;5.347;13.183;2;0.5738998
3733576;1000497101235782105;63850017879867;(0.771, 1.788, -0.304);(-0.033, -0.426, 0.001, 0.904);VALID;(-0.024, 0.106, 0.994);(-0.607, 0.163, -0.778);(0.000, 0.000, 0.000);68.025;VALID;(0.000, 0.106, 0.994);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.048, 0.105, 0.993);(0.034, 0.000, 0.000);0.406;5.352;13.183;2;0.5864495
3733577;1000497101240782560;63850017879868;(0.771, 1.788, -0.304);(-0.033, -0.426, 0.001, 0.904);VALID;(-0.023, 0.105, 0.994);(-0.608, 0.163, -0.777);(0.000, 0.000, 0.000);68.025;VALID;(0.001, 0.105, 0.994);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.046, 0.105, 0.993);(0.034, 0.000, 0.000);0.406;5.356;13.183;2;0.6007209
3733578;1000497101245783149;63850017879879;(0.770, 1.788, -0.304);(-0.034, -0.426, 0.002, 0.904);VALID;(-0.021, 0.104, 0.994);(-0.608, 0.163, -0.777);(0.000, 0.000, 0.000);68.025;VALID;(0.003, 0.105, 0.995);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.045, 0.104, 0.994);(0.034, 0.000, 0.000);0.406;5.357;13.183;2;0.5894097
3733579;1000497101250783817;63850017879879;(0.770, 1.788, -0.304);(-0.034, -0.426, 0.002, 0.904);VALID;(-0.019, 0.104, 0.994);(-0.610, 0.162, -0.776);(0.000, 0.000, 0.000);68.025;VALID;(0.004, 0.104, 0.995);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.043, 0.104, 0.994);(0.034, 0.000, 0.000);0.406;5.358;13.183;2;0.6280643
3733580;1000497101255784509;63850017879889;(0.770, 1.788, -0.304);(-0.034, -0.427, 0.002, 0.904);VALID;(-0.018, 0.103, 0.994);(-0.610, 0.162, -0.776);(0.000, 0.000, 0.000);68.025;VALID;(0.005, 0.104, 0.995);(-0.034, 0.000, 0.000);0.390;5.170;13.257;VALID;(-0.041, 0.103, 0.994);(0.034, 0.000, 0.000);0.406;5.358;13.183;2;0.6588746
3733581;1000497101260785198;63850017879889;(0.770, 1.788, -0.304);(-0.034, -0.427, 0.002, 0.904);VALID;(-0.017, 0.103, 0.995);(-0.611, 0.161, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.006, 0.103, 0.995);(-0.034, 0.000, 0.000);0.390;5.169;13.257;VALID;(-0.040, 0.103, 0.994);(0.034, 0.000, 0.000);0.406;5.358;13.183;2;0.6847832
3733582;1000497101265785885;63850017879901;(0.770, 1.788, -0.304);(-0.034, -0.427, 0.002, 0.904);VALID;(-0.016, 0.102, 0.995);(-0.611, 0.160, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.007, 0.102, 0.995);(-0.034, 0.000, 0.000);0.390;5.168;13.257;VALID;(-0.039, 0.102, 0.994);(0.034, 0.000, 0.000);0.406;5.357;13.183;2;0.6801614
3733583;1000497101270786571;63850017879901;(0.770, 1.788, -0.304);(-0.034, -0.427, 0.002, 0.904);VALID;(-0.015, 0.102, 0.995);(-0.611, 0.160, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.007, 0.102, 0.995);(-0.034, 0.000, 0.000);0.390;5.167;13.257;VALID;(-0.038, 0.102, 0.994);(0.034, 0.000, 0.000);0.406;5.351;13.183;2;0.6798984
3733584;1000497101275790715;63850017879901;(0.770, 1.788, -0.304);(-0.034, -0.427, 0.002, 0.904);VALID;(-0.015, 0.101, 0.995);(-0.612, 0.159, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.008, 0.101, 0.995);(-0.034, 0.000, 0.000);0.390;5.166;13.257;VALID;(-0.037, 0.101, 0.994);(0.034, 0.000, 0.000);0.406;5.348;13.183;2;0.7419528
3733585;1000497101280794845;63850017879912;(0.770, 1.788, -0.305);(-0.033, -0.427, 0.002, 0.904);VALID;(-0.014, 0.101, 0.995);(-0.612, 0.158, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.008, 0.101, 0.995);(-0.034, 0.000, 0.000);0.390;5.165;13.257;VALID;(-0.037, 0.101, 0.994);(0.034, 0.000, 0.000);0.406;5.348;13.183;2;0.7735679
3733586;1000497101285798878;63850017879912;(0.770, 1.788, -0.305);(-0.033, -0.427, 0.002, 0.904);VALID;(-0.014, 0.100, 0.995);(-0.613, 0.157, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.009, 0.100, 0.995);(-0.034, 0.000, 0.000);0.390;5.164;13.257;VALID;(-0.036, 0.100, 0.994);(0.034, 0.000, 0.000);0.406;5.346;13.183;2;0.7729876
3733587;1000497101290802759;63850017879922;(0.770, 1.788, -0.305);(-0.033, -0.428, 0.002, 0.903);VALID;(-0.013, 0.100, 0.995);(-0.613, 0.157, -0.775);(0.000, 0.000, 0.000);68.025;VALID;(0.010, 0.100, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.035, 0.100, 0.994);(0.034, 0.000, 0.000);0.405;5.344;13.183;2;0.7907491
3733588;1000497101295806490;63850017879923;(0.770, 1.788, -0.305);(-0.033, -0.428, 0.002, 0.903);VALID;(-0.012, 0.099, 0.995);(-0.614, 0.156, -0.774);(0.000, 0.000, 0.000);68.025;VALID;(0.010, 0.099, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.034, 0.099, 0.994);(0.034, 0.000, 0.000);0.405;5.340;13.183;2;0.8102036
3733589;1000497101300806665;63850017879934;(0.770, 1.788, -0.305);(-0.033, -0.428, 0.003, 0.903);VALID;(-0.011, 0.099, 0.995);(-0.614, 0.156, -0.773);(0.000, 0.000, 0.000);68.025;VALID;(0.011, 0.099, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.032, 0.099, 0.995);(0.034, 0.000, 0.000);0.405;5.334;13.183;2;0.7887589
3733590;1000497101305806944;63850017879934;(0.770, 1.788, -0.305);(-0.033, -0.428, 0.003, 0.903);VALID;(-0.009, 0.098, 0.995);(-0.616, 0.155, -0.773);(0.000, 0.000, 0.000);68.025;VALID;(0.012, 0.098, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.030, 0.098, 0.995);(0.034, 0.000, 0.000);0.404;5.326;13.183;2;0.7916257
3733591;1000497101310807357;63850017879945;(0.770, 1.788, -0.305);(-0.034, -0.428, 0.003, 0.903);VALID;(-0.008, 0.098, 0.995);(-0.616, 0.155, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.012, 0.098, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.029, 0.098, 0.995);(0.034, 0.000, 0.000);0.404;5.320;13.183;2;0.8134454
3733592;1000497101315807901;63850017879945;(0.770, 1.788, -0.305);(-0.034, -0.428, 0.003, 0.903);VALID;(-0.007, 0.097, 0.995);(-0.617, 0.155, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.013, 0.097, 0.995);(-0.034, 0.000, 0.000);0.389;5.163;13.257;VALID;(-0.027, 0.097, 0.995);(0.034, 0.000, 0.000);0.404;5.320;13.183;2;0.8244262
3733593;1000497101320808578;63850017879957;(0.770, 1.788, -0.305);(-0.034, -0.429, 0.003, 0.903);VALID;(-0.006, 0.097, 0.995);(-0.616, 0.155, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.097, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.026, 0.097, 0.995);(0.034, 0.000, 0.000);0.404;5.320;13.183;2;0.810717
3733594;1000497101325809305;63850017879957;(0.770, 1.788, -0.305);(-0.034, -0.429, 0.003, 0.903);VALID;(-0.006, 0.096, 0.995);(-0.617, 0.154, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.014, 0.096, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.025, 0.096, 0.995);(0.034, 0.000, 0.000);0.404;5.320;13.183;2;0.8433491
3733595;1000497101330810029;63850017879957;(0.770, 1.788, -0.305);(-0.034, -0.429, 0.003, 0.903);VALID;(-0.005, 0.095, 0.995);(-0.617, 0.154, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.015, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.024, 0.095, 0.995);(0.034, 0.000, 0.000);0.403;5.319;13.183;2;0.8418185
3733596;1000497101335810749;63850017879968;(0.769, 1.788, -0.306);(-0.034, -0.429, 0.002, 0.903);VALID;(-0.004, 0.095, 0.995);(-0.617, 0.154, -0.772);(0.000, 0.000, 0.000);68.025;VALID;(0.015, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.023, 0.095, 0.995);(0.034, 0.000, 0.000);0.403;5.314;13.183;2;0.850304
3733597;1000497101340811465;63850017879968;(0.769, 1.788, -0.306);(-0.034, -0.429, 0.002, 0.903);VALID;(-0.003, 0.095, 0.996);(-0.618, 0.154, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.016, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.161;13.257;VALID;(-0.022, 0.095, 0.995);(0.034, 0.000, 0.000);0.403;5.310;13.183;2;0.8292093
3733598;1000497101345812178;63850017879979;(0.769, 1.788, -0.306);(-0.034, -0.430, 0.002, 0.902);VALID;(-0.002, 0.094, 0.996);(-0.618, 0.154, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.017, 0.094, 0.995);(-0.034, 0.000, 0.000);0.389;5.161;13.257;VALID;(-0.021, 0.094, 0.995);(0.034, 0.000, 0.000);0.403;5.308;13.183;2;0.8320394
3733599;1000497101350816349;63850017879979;(0.769, 1.788, -0.306);(-0.034, -0.430, 0.002, 0.902);VALID;(-0.001, 0.094, 0.996);(-0.618, 0.154, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.018, 0.094, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.020, 0.094, 0.995);(0.034, 0.000, 0.000);0.402;5.306;13.183;2;0.8317519
3733600;1000497101355820481;63850017879991;(0.769, 1.788, -0.306);(-0.035, -0.430, 0.002, 0.902);VALID;(-0.001, 0.094, 0.996);(-0.618, 0.154, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.019, 0.094, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.020, 0.094, 0.995);(0.034, 0.000, 0.000);0.402;5.305;13.183;2;0.8368831
3733601;1000497101360824464;63850017879991;(0.769, 1.788, -0.306);(-0.035, -0.430, 0.002, 0.902);VALID;(0.000, 0.094, 0.996);(-0.618, 0.154, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.019, 0.094, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.020, 0.094, 0.995);(0.034, 0.000, 0.000);0.402;5.304;13.183;2;0.8365691
3733602;1000497101365828302;63850017880002;(0.769, 1.788, -0.306);(-0.035, -0.431, 0.002, 0.902);VALID;(0.000, 0.094, 0.996);(-0.618, 0.155, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.020, 0.094, 0.995);(-0.034, 0.000, 0.000);0.389;5.162;13.257;VALID;(-0.020, 0.094, 0.995);(0.034, 0.000, 0.000);0.402;5.302;13.183;2;0.8494426
3733603;1000497101370831991;63850017880002;(0.769, 1.788, -0.306);(-0.035, -0.431, 0.002, 0.902);VALID;(0.000, 0.095, 0.996);(-0.618, 0.155, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.020, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.161;13.257;VALID;(-0.020, 0.095, 0.995);(0.034, 0.000, 0.000);0.402;5.299;13.183;2;0.827316
3733604;1000497101375832181;63850017880002;(0.769, 1.788, -0.306);(-0.035, -0.431, 0.002, 0.902);VALID;(0.000, 0.095, 0.996);(-0.618, 0.155, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.020, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.161;13.257;VALID;(-0.020, 0.095, 0.995);(0.034, 0.000, 0.000);0.402;5.296;13.183;2;0.8250796
3733605;1000497101380832452;63850017880013;(0.769, 1.788, -0.306);(-0.035, -0.431, 0.002, 0.902);VALID;(0.000, 0.095, 0.995);(-0.618, 0.155, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.021, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.160;13.257;VALID;(-0.020, 0.095, 0.995);(0.034, 0.000, 0.000);0.401;5.293;13.183;2;0.8578358
3733606;1000497101385832858;63850017880013;(0.769, 1.788, -0.306);(-0.035, -0.431, 0.002, 0.902);VALID;(0.001, 0.095, 0.995);(-0.618, 0.155, -0.771);(0.000, 0.000, 0.000);68.025;VALID;(0.021, 0.095, 0.995);(-0.034, 0.000, 0.000);0.389;5.159;13.257;VALID;(-0.020, 0.095, 0.995);(0.034, 0.000, 0.000);0.401;5.289;13.183;2;0.8493108
